date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:26:16 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:16
22:26:16 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,3,22:26:07,22:26:16,
22:26:16 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:16
22:26:17 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:17,
22:26:17 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:17
22:26:17 Sun-21-Jul,1,"(92, 90)","(221, 198)",Tidak,2,22:26:07,22:26:17,
22:26:17 Sun-21-Jul,2,"(245, 74)","(386, 157)",Iya,,22:26:11,,22:26:17
22:26:40 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:41,
22:26:41 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:41,
22:26:41 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:41,
22:26:41 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:41,
22:26:41 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:41,
22:26:41 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:42,
22:26:42 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:42,
22:26:42 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:42,
22:26:42 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:42,
22:26:42 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:42,
22:26:42 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:43,
22:26:43 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:43,
22:26:43 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:43
22:26:43 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:43,
22:26:43 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:43
22:26:43 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:43,
22:26:43 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:43
22:26:43 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:43,
22:26:43 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:43
22:26:43 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:43 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:44 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:44 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:44 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:44 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:44 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:44 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:44 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:44 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:44 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:44,
22:26:44 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:44
22:26:45 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:45,
22:26:45 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:45
22:26:45 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:45
22:26:45 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:45,
22:26:45 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:45
22:26:45 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:45
22:26:45 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:45,
22:26:45 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:45
22:26:45 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:45
22:26:45 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:45,
22:26:45 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:45
22:26:45 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:45
22:26:45 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,1,22:26:40,22:26:45,
22:26:45 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:45
