date                ,no ,x and y      ,xend and yend
22:32:04 Sun-21-Jul,4,"(343, 170)","(477, 155)"
22:32:05 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:05 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:05 Sun-21-Jul,3,"(247, 235)","(477, 220)"
22:32:05 Sun-21-Jul,4,"(342, 170)","(476, 155)"
22:32:05 Sun-21-Jul,5,"(388, 181)","(480, 166)"
22:32:05 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:05 Sun-21-Jul,2,"(258, 143)","(333, 128)"
22:32:05 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:05 Sun-21-Jul,4,"(339, 170)","(476, 155)"
22:32:05 Sun-21-Jul,5,"(388, 180)","(480, 165)"
22:32:05 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:05 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:05 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:05 Sun-21-Jul,4,"(339, 170)","(476, 155)"
22:32:05 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:05 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:05 Sun-21-Jul,2,"(258, 143)","(333, 128)"
22:32:05 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:05 Sun-21-Jul,4,"(339, 169)","(476, 154)"
22:32:05 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:06 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:06 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:06 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:06 Sun-21-Jul,4,"(337, 169)","(477, 154)"
22:32:06 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:06 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:06 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:06 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:06 Sun-21-Jul,4,"(336, 170)","(476, 155)"
22:32:06 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:06 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:06 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:06 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:06 Sun-21-Jul,4,"(340, 170)","(477, 155)"
22:32:06 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:06 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:06 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:06 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:06 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:06 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:06 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:06 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:06 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:06 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:06 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:07 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:07 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:07 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:07 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:07 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:07 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:07 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:07 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:07 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:07 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:07 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:07 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:07 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:07 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:07 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:07 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:07 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:07 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:07 Sun-21-Jul,4,"(342, 170)","(477, 155)"
22:32:07 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:08 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:08 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:08 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:08 Sun-21-Jul,4,"(342, 170)","(477, 155)"
22:32:08 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:08 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:08 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:08 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:08 Sun-21-Jul,4,"(343, 170)","(477, 155)"
22:32:08 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:08 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:08 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:08 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:08 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:08 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:08 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:08 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:08 Sun-21-Jul,3,"(250, 229)","(480, 214)"
22:32:08 Sun-21-Jul,4,"(340, 170)","(477, 155)"
22:32:08 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:08 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:08 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:08 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:08 Sun-21-Jul,4,"(340, 170)","(477, 155)"
22:32:08 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:09 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:09 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:09 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:09 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:09 Sun-21-Jul,5,"(390, 185)","(481, 170)"
22:32:09 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:09 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:09 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:09 Sun-21-Jul,4,"(341, 170)","(478, 155)"
22:32:09 Sun-21-Jul,5,"(390, 184)","(481, 169)"
22:32:09 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:09 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:09 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:09 Sun-21-Jul,4,"(342, 170)","(479, 155)"
22:32:09 Sun-21-Jul,5,"(391, 174)","(481, 159)"
22:32:09 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:09 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:09 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:09 Sun-21-Jul,4,"(341, 170)","(478, 155)"
22:32:09 Sun-21-Jul,5,"(391, 174)","(481, 159)"
22:32:10 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:10 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:10 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:10 Sun-21-Jul,4,"(341, 170)","(478, 155)"
22:32:10 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:10 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:10 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:10 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:10 Sun-21-Jul,4,"(340, 170)","(478, 155)"
22:32:10 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:10 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:10 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:10 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:10 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:10 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:10 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:10 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:10 Sun-21-Jul,3,"(249, 231)","(480, 216)"
22:32:10 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:10 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:10 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:10 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:10 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:10 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:10 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:11 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:11 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:11 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:11 Sun-21-Jul,4,"(339, 170)","(478, 155)"
22:32:11 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:11 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:11 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:11 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:11 Sun-21-Jul,4,"(340, 170)","(479, 155)"
22:32:11 Sun-21-Jul,5,"(391, 174)","(481, 159)"
22:32:11 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:11 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:11 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:11 Sun-21-Jul,4,"(339, 170)","(478, 155)"
22:32:11 Sun-21-Jul,5,"(390, 185)","(481, 170)"
22:32:11 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:11 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:11 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:11 Sun-21-Jul,4,"(340, 170)","(478, 155)"
22:32:11 Sun-21-Jul,5,"(391, 174)","(481, 159)"
22:32:12 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:12 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:12 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:12 Sun-21-Jul,4,"(340, 170)","(478, 155)"
22:32:12 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:12 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:12 Sun-21-Jul,2,"(259, 143)","(333, 128)"
22:32:12 Sun-21-Jul,3,"(247, 230)","(480, 215)"
22:32:12 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:12 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:12 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:12 Sun-21-Jul,2,"(259, 143)","(333, 128)"
22:32:12 Sun-21-Jul,3,"(248, 230)","(481, 215)"
22:32:12 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:12 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:12 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:12 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:12 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:12 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:12 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:12 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:12 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:12 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:12 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:12 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:13 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:13 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:13 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:13 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:13 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:13 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:13 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:13 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:13 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:13 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:13 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:13 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:13 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:13 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:13 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:13 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:13 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:13 Sun-21-Jul,3,"(248, 229)","(480, 214)"
22:32:13 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:13 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:13 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:13 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:13 Sun-21-Jul,3,"(248, 229)","(480, 214)"
22:32:13 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:13 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:14 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:14 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:14 Sun-21-Jul,3,"(248, 229)","(480, 214)"
22:32:14 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:14 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:14 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:14 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:14 Sun-21-Jul,3,"(248, 230)","(481, 215)"
22:32:14 Sun-21-Jul,4,"(336, 170)","(477, 155)"
22:32:14 Sun-21-Jul,5,"(390, 185)","(481, 170)"
22:32:14 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:14 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:14 Sun-21-Jul,3,"(248, 230)","(481, 215)"
22:32:14 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:14 Sun-21-Jul,5,"(391, 185)","(481, 170)"
22:32:14 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:14 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:14 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:14 Sun-21-Jul,4,"(337, 170)","(476, 155)"
22:32:14 Sun-21-Jul,5,"(390, 186)","(481, 171)"
22:32:15 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:15 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:15 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:15 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:15 Sun-21-Jul,5,"(391, 186)","(481, 171)"
22:32:15 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:15 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:15 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:15 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:15 Sun-21-Jul,5,"(391, 187)","(481, 172)"
22:32:15 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:15 Sun-21-Jul,2,"(260, 144)","(334, 129)"
22:32:15 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:15 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:15 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:15 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:15 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:15 Sun-21-Jul,3,"(248, 230)","(480, 215)"
22:32:15 Sun-21-Jul,4,"(340, 170)","(477, 155)"
22:32:15 Sun-21-Jul,5,"(390, 180)","(480, 165)"
22:32:15 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:15 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:15 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:15 Sun-21-Jul,4,"(340, 170)","(478, 155)"
22:32:15 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:16 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:16 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:16 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:16 Sun-21-Jul,4,"(340, 170)","(478, 155)"
22:32:16 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:16 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:16 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:16 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:16 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:16 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:16 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:16 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:16 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:16 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:16 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:16 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:16 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:16 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:16 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:16 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:17 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:17 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:17 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:17 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:17 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:17 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:17 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:17 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:17 Sun-21-Jul,4,"(337, 170)","(477, 155)"
22:32:17 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:17 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:17 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:17 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:17 Sun-21-Jul,4,"(337, 170)","(478, 155)"
22:32:17 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:17 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:17 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:17 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:17 Sun-21-Jul,4,"(338, 170)","(478, 155)"
22:32:17 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:18 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:18 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:18 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:18 Sun-21-Jul,4,"(336, 170)","(477, 155)"
22:32:18 Sun-21-Jul,5,"(388, 178)","(480, 163)"
22:32:18 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:18 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:18 Sun-21-Jul,3,"(250, 229)","(480, 214)"
22:32:18 Sun-21-Jul,4,"(337, 170)","(476, 155)"
22:32:18 Sun-21-Jul,5,"(390, 184)","(481, 169)"
22:32:18 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:18 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:18 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:18 Sun-21-Jul,4,"(338, 170)","(477, 155)"
22:32:18 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:18 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:18 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:18 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:18 Sun-21-Jul,4,"(337, 170)","(476, 155)"
22:32:18 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:19 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:19 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:19 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:19 Sun-21-Jul,4,"(339, 170)","(476, 155)"
22:32:19 Sun-21-Jul,5,"(389, 179)","(480, 164)"
22:32:19 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:19 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:19 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:19 Sun-21-Jul,4,"(338, 170)","(476, 155)"
22:32:19 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:19 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:19 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:19 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:19 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:19 Sun-21-Jul,5,"(389, 178)","(480, 163)"
22:32:19 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:19 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:19 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:19 Sun-21-Jul,4,"(339, 170)","(476, 155)"
22:32:19 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:19 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:19 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:19 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:19 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:19 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:20 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:20 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:20 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:20 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:20 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:20 Sun-21-Jul,1,"(5, 153)","(145, 138)"
22:32:20 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:20 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:20 Sun-21-Jul,4,"(339, 170)","(477, 155)"
22:32:20 Sun-21-Jul,5,"(390, 178)","(480, 163)"
22:32:20 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:20 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:20 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:20 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:20 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:20 Sun-21-Jul,1,"(5, 153)","(144, 138)"
22:32:20 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:20 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:20 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:20 Sun-21-Jul,5,"(390, 179)","(480, 164)"
22:32:20 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:20 Sun-21-Jul,2,"(258, 144)","(333, 129)"
22:32:20 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:20 Sun-21-Jul,4,"(342, 170)","(477, 155)"
22:32:20 Sun-21-Jul,5,"(391, 185)","(481, 170)"
22:32:21 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:21 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:21 Sun-21-Jul,3,"(249, 228)","(480, 213)"
22:32:21 Sun-21-Jul,4,"(344, 170)","(478, 155)"
22:32:21 Sun-21-Jul,5,"(391, 185)","(481, 170)"
22:32:21 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:21 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:21 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:21 Sun-21-Jul,4,"(343, 170)","(478, 155)"
22:32:21 Sun-21-Jul,5,"(391, 185)","(481, 170)"
22:32:21 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:21 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:21 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:21 Sun-21-Jul,4,"(344, 170)","(478, 155)"
22:32:21 Sun-21-Jul,5,"(391, 184)","(481, 169)"
22:32:21 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:21 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:21 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:21 Sun-21-Jul,4,"(343, 170)","(478, 155)"
22:32:21 Sun-21-Jul,5,"(391, 184)","(481, 169)"
22:32:22 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:22 Sun-21-Jul,2,"(259, 144)","(334, 129)"
22:32:22 Sun-21-Jul,3,"(249, 229)","(480, 214)"
22:32:22 Sun-21-Jul,4,"(343, 170)","(478, 155)"
22:32:22 Sun-21-Jul,5,"(391, 178)","(480, 163)"
22:32:22 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:22 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:22 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:22 Sun-21-Jul,4,"(342, 170)","(478, 155)"
22:32:22 Sun-21-Jul,5,"(391, 178)","(480, 163)"
22:32:22 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:22 Sun-21-Jul,2,"(259, 143)","(333, 128)"
22:32:22 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:22 Sun-21-Jul,4,"(342, 170)","(478, 155)"
22:32:22 Sun-21-Jul,5,"(391, 178)","(480, 163)"
22:32:22 Sun-21-Jul,1,"(5, 152)","(145, 137)"
22:32:22 Sun-21-Jul,2,"(259, 143)","(333, 128)"
22:32:22 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:22 Sun-21-Jul,4,"(342, 170)","(478, 155)"
22:32:22 Sun-21-Jul,5,"(391, 178)","(480, 163)"
22:32:22 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:22 Sun-21-Jul,2,"(259, 143)","(333, 128)"
22:32:22 Sun-21-Jul,3,"(250, 230)","(480, 215)"
22:32:22 Sun-21-Jul,4,"(342, 170)","(478, 155)"
22:32:22 Sun-21-Jul,5,"(391, 179)","(480, 164)"
22:32:23 Sun-21-Jul,1,"(5, 152)","(144, 137)"
22:32:23 Sun-21-Jul,2,"(259, 144)","(333, 129)"
22:32:23 Sun-21-Jul,3,"(249, 230)","(480, 215)"
22:32:23 Sun-21-Jul,4,"(341, 170)","(477, 155)"
22:32:23 Sun-21-Jul,5,"(391, 178)","(480, 163)"
